,alpha,avg_total_deadline,avg_total_paces,avg_total_penalties,avg_total_reward,epsilon,gamma,total_reached_times
241,0.9,29.4375,16.325,0.35,31.0,0.05,0.45,80
242,0.9,28.8607594937,13.1772151899,0.291139240506,28.0506329114,0.08,0.45,79
243,0.95,28.1884057971,13.6956521739,0.0724637681159,28.9927536232,0.03,0.05,69
244,0.95,29.4303797468,16.3670886076,0.303797468354,32.2594936709,0.05,0.05,79
245,0.95,30.0602409639,14.8674698795,0.385542168675,30.3192771084,0.08,0.05,83
246,0.95,29.1379310345,14.1494252874,0.264367816092,29.7183908046,0.03,0.1,87
247,0.95,31.8421052632,15.8289473684,0.276315789474,31.0328947368,0.05,0.1,76
248,0.95,28.9634146341,14.3902439024,0.329268292683,29.5243902439,0.08,0.1,82
249,0.95,30.9836065574,14.8032786885,0.213114754098,29.8360655738,0.03,0.15,61
250,0.95,31.4189189189,15.0540540541,0.297297297297,31.2837837838,0.05,0.15,74
251,0.95,29.5360824742,14.4639175258,0.453608247423,29.9381443299,0.08,0.15,97
252,0.95,30.2142857143,16.2142857143,0.257142857143,31.2785714286,0.03,0.2,70
253,0.95,29.6464646465,13.4949494949,0.343434343434,29.2626262626,0.05,0.2,99
254,0.95,29.4047619048,15.3333333333,0.428571428571,30.5952380952,0.08,0.2,84
255,0.95,30.703125,16.90625,0.203125,32.765625,0.03,0.25,64
256,0.95,31.2142857143,14.6428571429,0.242857142857,30.4357142857,0.05,0.25,70
257,0.95,28.8095238095,13.9047619048,0.297619047619,29.4345238095,0.08,0.25,84
258,0.95,30.1369863014,15.602739726,0.150684931507,31.0342465753,0.03,0.3,73
259,0.95,30.7792207792,14.9090909091,0.220779220779,30.4220779221,0.05,0.3,77
260,0.95,29.8295454545,15.2159090909,0.397727272727,30.7954545455,0.08,0.3,88
261,0.95,31.4457831325,16.4457831325,0.240963855422,32.8614457831,0.03,0.35,83
262,0.95,28.7654320988,14.4938271605,0.234567901235,30.1481481481,0.05,0.35,81
263,0.95,30.1666666667,14.5,0.344444444444,29.8277777778,0.08,0.35,90
264,0.95,30.3225806452,13.4838709677,0.0967741935484,30.0241935484,0.03,0.4,62
265,0.95,28.6111111111,13.2777777778,0.177777777778,29.2722222222,0.05,0.4,90
266,0.95,29.4318181818,13.7159090909,0.227272727273,29.4318181818,0.08,0.4,88
267,0.95,30.9574468085,16.170212766,0.31914893617,32.170212766,0.03,0.45,47
268,0.95,29.1803278689,15.7868852459,0.295081967213,31.1557377049,0.05,0.45,61
269,0.95,31.1666666667,14.3888888889,0.355555555556,30.1277777778,0.08,0.45,90
